1,1,"LECHE EN POLVO ENTERA PAQUETE - 200 GR",1,11.66,2023-11-11 22:37:53.368845,2023-11-11 22:37:53.368845
1,1,"TOSTADAS  CLASICAS LIVIANAS - 150 GR",5,52.75,2023-11-11 22:38:00.448511,2023-11-11 22:38:00.448511
1,1,"TAPA DE NALGA  - 1 KG",1,44.0,2023-11-11 22:38:15.879701,2023-11-11 22:38:15.879701
1,1,"PRESERVATIVOS SUPER FINOS 6 UNIDADES - 1 UN",1,23.8,2023-11-11 22:39:14.668215,2023-11-11 22:39:14.668215
2,1,"LECHE EN POLVO ENTERA PAQUETE - 200 GR",1,11.66,2023-11-11 22:45:47.279133,2023-11-11 22:45:47.279133
2,1,"TOSTADAS  CLASICAS LIVIANAS - 150 GR",1,10.55,2023-11-11 22:45:55.766205,2023-11-11 22:45:55.766205
3,1,"COCA",5,2570.0,2023-11-11 22:47:09.610987,2023-11-11 22:47:09.610987
4,1,"LECHE EN POLVO ENTERA PAQUETE - 200 GR",1,11.66,2023-11-11 23:02:19.729798,2023-11-11 23:02:19.729798
4,1,"TOSTADAS  CLASICAS LIVIANAS - 150 GR",5,52.75,2023-11-11 23:02:29.105683,2023-11-11 23:02:29.105683
4,1,"VINO COMUN TINTO TETRABRICK - 1 LT",10,104.0,2023-11-11 23:02:38.315223,2023-11-11 23:02:38.315223
5,1,"DESODORANTE MASCULINO ROLL ON INVISIBLE - 50 ML",5,75.0,2023-11-11 23:04:05.066876,2023-11-11 23:04:05.066876
5,1,"PAPEL HIGIENICO HOJA SIMPLE 4 ROLLOS DE 80  - 320 MTRS",9,179.91,2023-11-11 23:04:13.048055,2023-11-11 23:04:13.048055
